Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient503	2	Primary-v6	8e-04	0.0031	0.007	-0.0054	FALSE
Patient503	2	Primary-v7	0.7496	0.06	0.8696	0.6296	FALSE
Patient503	2	Primary-v8	0.0048	0.0068	0.0184	-0.0088	FALSE
Patient503	2	Primary-v9	7e-04	0.0028	0.0063	-0.0049	FALSE
Patient503	3	Primary-v1	0.009	0.006	0.021	-0.003	FALSE
Patient503	3	Primary-v10	0.0141	0.0058	0.0257	0.0025	FALSE
Patient503	3	Primary-v2	9e-04	0.0029	0.0067	-0.0049	FALSE
Patient503	3	Primary-v3	0.034	0.0131	0.0602	0.0078	FALSE
Patient503	3	Primary-v4	0.0105	0.006	0.0225	-0.0015	FALSE
Patient503	3	Primary-v5	0.0024	0.0044	0.0112	-0.0064	FALSE
Patient503	3	Primary-v6	0.0963	0.0167	0.1297	0.0629	FALSE
Patient503	3	Primary-v7	0.0049	0.0055	0.0159	-0.0061	FALSE
Patient503	3	Primary-v8	0.0049	0.0061	0.0171	-0.0073	FALSE
Patient503	3	Primary-v9	0.0242	0.0096	0.0434	0.005	FALSE
Patient503	4	Primary-v1	0	1e-04	2e-04	-2e-04	FALSE
Patient503	4	Primary-v10	0.021	0.007	0.035	0.007	FALSE
Patient503	4	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient503	4	Primary-v3	0	2e-04	4e-04	-4e-04	FALSE
Patient503	4	Primary-v4	0	5e-04	0.001	-0.001	FALSE
Patient503	4	Primary-v5	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient503	4	Primary-v6	0	6e-04	0.0012	-0.0012	FALSE
Patient503	4	Primary-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient503	4	Primary-v8	0.4305	0.0258	0.4821	0.3789	FALSE
Patient503	4	Primary-v9	0	2e-04	4e-04	-4e-04	FALSE
Patient503	5	Primary-v1	0	0	0	0	TRUE
Patient503	5	Primary-v10	0.5667	0.0107	0.5881	0.5453	TRUE
Patient503	5	Primary-v2	0.0229	0.0044	0.0317	0.0141	TRUE
Patient503	5	Primary-v3	0.5353	0.0108	0.5569	0.5137	TRUE
Patient503	5	Primary-v4	0.7959	0.0119	0.8197	0.7721	TRUE
Patient503	5	Primary-v5	0.5491	0.0109	0.5709	0.5273	TRUE
Patient503	5	Primary-v6	0.7812	0.0118	0.8048	0.7576	TRUE
Patient503	5	Primary-v7	0.7507	0.0118	0.7743	0.7271	TRUE
Patient503	5	Primary-v8	0.8336	0.0128	0.8592	0.808	TRUE
Patient503	5	Primary-v9	0.7675	0.0119	0.7913	0.7437	TRUE
Patient503	6	Primary-v1	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient503	6	Primary-v10	0.0118	0.004	0.0198	0.0038	FALSE
Patient503	6	Primary-v2	0	4e-04	8e-04	-8e-04	FALSE
Patient503	6	Primary-v3	0.0793	0.0147	0.1087	0.0499	FALSE
Patient503	6	Primary-v4	0.6304	0.0367	0.7038	0.557	FALSE
Patient503	6	Primary-v5	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient503	6	Primary-v6	1e-04	0.0012	0.0025	-0.0023	FALSE
Patient503	6	Primary-v7	1e-04	0.001	0.0021	-0.0019	FALSE
Patient503	6	Primary-v8	0	5e-04	0.001	-0.001	FALSE
Patient503	6	Primary-v9	0.7321	0.04	0.8121	0.6521	FALSE
Patient507	1	Primary-Cy	0	1e-04	2e-04	-2e-04	FALSE
Patient507	1	Primary-G	0	4e-04	8e-04	-8e-04	FALSE
Patient507	1	Primary-P	0	1e-04	2e-04	-2e-04	FALSE
Patient507	1	Primary-Y	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient507	1	Primary-v1	0	0	0	0	FALSE
Patient507	1	Primary-v10	0	0	0	0	FALSE
Patient507	1	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient507	1	Primary-v3	0.0062	0.0051	0.0164	-0.004	FALSE
Patient507	1	Primary-v4	0	4e-04	8e-04	-8e-04	FALSE
Patient507	1	Primary-v5	0.0174	0.0062	0.0298	0.005	FALSE
Patient507	1	Primary-v6	0.0094	0.0031	0.0156	0.0032	FALSE
Patient507	1	Primary-v7	2e-04	0.0014	0.003	-0.0026	FALSE
Patient507	1	Primary-v8	0.051	0.0094	0.0698	0.0322	FALSE
Patient507	1	Primary-v9	0.0093	0.0035	0.0163	0.0023	FALSE
Patient507	2	Primary-Cy	0.2771	0.0235	0.3241	0.2301	FALSE
Patient507	2	Primary-G	0	3e-04	6e-04	-6e-04	FALSE
Patient507	2	Primary-P	0.0486	0.0108	0.0702	0.027	FALSE
Patient507	2	Primary-Y	0.2226	0.0209	0.2644	0.1808	FALSE
Patient507	2	Primary-v1	5e-04	0.0022	0.0049	-0.0039	FALSE
Patient507	2	Primary-v10	0.0072	0.0047	0.0166	-0.0022	FALSE
Patient507	2	Primary-v2	0.012	0.0041	0.0202	0.0038	FALSE
Patient507	2	Primary-v3	0.2654	0.0208	0.307	0.2238	FALSE
Patient507	2	Primary-v4	0.0925	0.0145	0.1215	0.0635	FALSE
Patient507	2	Primary-v5	0.1115	0.0203	0.1521	0.0709	FALSE
Patient507	2	Primary-v6	0.1099	0.0166	0.1431	0.0767	FALSE
Patient507	2	Primary-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient507	2	Primary-v8	0.0784	0.0129	0.1042	0.0526	FALSE
Patient507	2	Primary-v9	0	2e-04	4e-04	-4e-04	FALSE
Patient507	3	Primary-Cy	0.2413	0.015	0.2713	0.2113	FALSE
Patient507	3	Primary-G	0.0207	0.0028	0.0263	0.0151	FALSE
Patient507	3	Primary-P	0.2506	0.0169	0.2844	0.2168	FALSE
Patient507	3	Primary-Y	0.1739	0.0137	0.2013	0.1465	FALSE
Patient507	3	Primary-v1	0.0231	0.0046	0.0323	0.0139	FALSE
Patient507	3	Primary-v10	0.2186	0.0131	0.2448	0.1924	FALSE
Patient507	3	Primary-v2	0.1996	0.0131	0.2258	0.1734	FALSE
Patient507	3	Primary-v3	0.2113	0.0147	0.2407	0.1819	FALSE
Patient507	3	Primary-v4	0.0875	0.0087	0.1049	0.0701	FALSE
Patient507	3	Primary-v5	0.1887	0.0274	0.2435	0.1339	FALSE
Patient507	3	Primary-v6	0.2273	0.0154	0.2581	0.1965	FALSE
Patient507	3	Primary-v7	0	0	0	0	FALSE
Patient507	3	Primary-v8	0.2369	0.0147	0.2663	0.2075	FALSE
Patient507	3	Primary-v9	0	0	0	0	FALSE
Patient507	4	Primary-Cy	0	0	0	0	FALSE
Patient507	4	Primary-G	0	2e-04	4e-04	-4e-04	FALSE
Patient507	4	Primary-P	0	1e-04	2e-04	-2e-04	FALSE
Patient507	4	Primary-Y	0	0	0	0	FALSE
Patient507	4	Primary-v1	0	0	0	0	FALSE
Patient507	4	Primary-v10	0	0	0	0	FALSE
Patient507	4	Primary-v2	0	0	0	0	FALSE
Patient507	4	Primary-v3	0	0	0	0	FALSE
Patient507	4	Primary-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient507	4	Primary-v5	0	0	0	0	FALSE
Patient507	4	Primary-v6	0.0151	0.0052	0.0255	0.0047	FALSE
Patient507	4	Primary-v7	0.2375	0.0164	0.2703	0.2047	FALSE
Patient507	4	Primary-v8	0	0	0	0	FALSE
Patient507	4	Primary-v9	3e-04	0.0016	0.0035	-0.0029	FALSE
Patient507	5	Primary-Cy	0.3048	0.0663	0.4374	0.1722	TRUE
Patient507	5	Primary-G	0.03	0.0165	0.063	-0.003	TRUE
Patient507	5	Primary-P	0.3129	0.0626	0.4381	0.1877	TRUE
Patient507	5	Primary-Y	0.1961	0.0563	0.3087	0.0835	TRUE
Patient507	5	Primary-v1	0.0677	0.0226	0.1129	0.0225	TRUE
Patient507	5	Primary-v10	0.3688	0.0824	0.5336	0.204	TRUE
Patient507	5	Primary-v2	0.2447	0.0335	0.3117	0.1777	TRUE
Patient507	5	Primary-v3	0.5042	0.0564	0.617	0.3914	TRUE
Patient507	5	Primary-v4	0.1324	0.0339	0.2002	0.0646	TRUE
Patient507	5	Primary-v5	0.6845	0.1798	1.0441	0.3249	TRUE
Patient507	5	Primary-v6	0.4746	0.0585	0.5916	0.3576	TRUE
Patient507	5	Primary-v7	0.4746	0.0547	0.584	0.3652	TRUE
Patient507	5	Primary-v8	0.4595	0.0553	0.5701	0.3489	TRUE
Patient507	5	Primary-v9	0.2696	0.033	0.3356	0.2036	TRUE
Patient507	6	Primary-Cy	0.256	0.0243	0.3046	0.2074	FALSE
Patient507	6	Primary-G	0.0265	0.0073	0.0411	0.0119	FALSE
Patient507	6	Primary-P	0.227	0.0261	0.2792	0.1748	FALSE
Patient507	6	Primary-Y	0.1733	0.0221	0.2175	0.1291	FALSE
Patient507	6	Primary-v1	0.0335	0.0082	0.0499	0.0171	FALSE
Patient507	6	Primary-v10	0.282	0.0263	0.3346	0.2294	FALSE
Patient507	6	Primary-v2	0.2257	0.0223	0.2703	0.1811	FALSE
Patient507	6	Primary-v3	0.2252	0.021	0.2672	0.1832	FALSE
Patient507	6	Primary-v4	0.0833	0.0144	0.1121	0.0545	FALSE
Patient507	6	Primary-v5	0.3866	0.0822	0.551	0.2222	FALSE
Patient507	6	Primary-v6	0.2691	0.0233	0.3157	0.2225	FALSE
Patient507	6	Primary-v7	0.0195	0.006	0.0315	0.0075	FALSE
Patient507	6	Primary-v8	0.2676	0.0284	0.3244	0.2108	FALSE
Patient507	6	Primary-v9	0.1804	0.0176	0.2156	0.1452	FALSE
Patient507	7	Primary-Cy	0.0169	0.0097	0.0363	-0.0025	FALSE
Patient507	7	Primary-G	0.0184	0.0101	0.0386	-0.0018	FALSE
Patient507	7	Primary-P	0.177	0.0518	0.2806	0.0734	FALSE
Patient507	7	Primary-Y	0.0044	0.0064	0.0172	-0.0084	FALSE
Patient507	7	Primary-v1	0.0149	0.0088	0.0325	-0.0027	FALSE
Patient507	7	Primary-v10	0.2299	0.0617	0.3533	0.1065	FALSE
Patient507	7	Primary-v2	0.2979	0.0427	0.3833	0.2125	FALSE
Patient507	7	Primary-v3	0.0205	0.0111	0.0427	-0.0017	FALSE
Patient507	7	Primary-v4	0.002	0.0049	0.0118	-0.0078	FALSE
Patient507	7	Primary-v5	0.1721	0.0605	0.2931	0.0511	FALSE
Patient507	7	Primary-v6	0.2625	0.0416	0.3457	0.1793	FALSE
Patient507	7	Primary-v7	0.0182	0.0098	0.0378	-0.0014	FALSE
Patient507	7	Primary-v8	0.2543	0.04	0.3343	0.1743	FALSE
Patient507	7	Primary-v9	0.2277	0.0371	0.3019	0.1535	FALSE
Patient507	8	Primary-Cy	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient507	8	Primary-G	0.0227	0.0078	0.0383	0.0071	FALSE
Patient507	8	Primary-P	0.214	0.025	0.264	0.164	FALSE
Patient507	8	Primary-Y	0.0013	0.0035	0.0083	-0.0057	FALSE
Patient507	8	Primary-v1	0.0184	0.0071	0.0326	0.0042	FALSE
Patient507	8	Primary-v10	0.1518	0.0224	0.1966	0.107	FALSE
Patient507	8	Primary-v2	0.134	0.0178	0.1696	0.0984	FALSE
Patient507	8	Primary-v3	0	4e-04	8e-04	-8e-04	FALSE
Patient507	8	Primary-v4	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient507	8	Primary-v5	0	5e-04	0.001	-0.001	FALSE
Patient507	8	Primary-v6	0.0336	0.0094	0.0524	0.0148	FALSE
Patient507	8	Primary-v7	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient507	8	Primary-v8	2e-04	0.0013	0.0028	-0.0024	FALSE
Patient507	8	Primary-v9	0	3e-04	6e-04	-6e-04	FALSE
Patient508	1	Primary-Cy	0	6e-04	0.0012	-0.0012	FALSE
Patient508	1	Primary-G	0	4e-04	8e-04	-8e-04	FALSE
Patient508	1	Primary-P	0	5e-04	0.001	-0.001	FALSE
Patient508	1	Primary-Y	0	5e-04	0.001	-0.001	FALSE
Patient508	1	Primary-v1	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient508	1	Primary-v2	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient508	1	Primary-v3	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient508	1	Primary-v4	0.3783	0.0281	0.4345	0.3221	FALSE
Patient508	1	Primary-v5	3e-04	0.0016	0.0035	-0.0029	FALSE
Patient508	1	Primary-v6	1e-04	0.001	0.0021	-0.0019	FALSE
Patient508	1	Primary-v7	0.0756	0.0189	0.1134	0.0378	FALSE
Patient508	1	Primary-v8	0.0019	0.004	0.0099	-0.0061	FALSE
Patient508	1	Primary-v9	0	5e-04	0.001	-0.001	FALSE
Patient508	2	Primary-Cy	0.6517	0.0556	0.7629	0.5405	FALSE
Patient508	2	Primary-G	0.7126	0.0526	0.8178	0.6074	FALSE
Patient508	2	Primary-P	0.7497	0.0542	0.8581	0.6413	FALSE
Patient508	2	Primary-Y	0.6393	0.0496	0.7385	0.5401	FALSE
Patient508	2	Primary-v1	0.6976	0.0546	0.8068	0.5884	FALSE
Patient508	2	Primary-v2	0.2374	0.0596	0.3566	0.1182	FALSE
Patient508	2	Primary-v3	0.0299	0.0133	0.0565	0.0033	FALSE
Patient508	2	Primary-v4	0.2718	0.0649	0.4016	0.142	FALSE
Patient508	2	Primary-v5	0.8842	0.0508	0.9858	0.7826	FALSE
Patient508	2	Primary-v6	0.7809	0.0503	0.8815	0.6803	FALSE
Patient508	2	Primary-v7	0.3409	0.0753	0.4915	0.1903	FALSE
Patient508	2	Primary-v8	0.2662	0.0653	0.3968	0.1356	FALSE
Patient508	2	Primary-v9	0.8308	0.0556	0.942	0.7196	FALSE
Patient508	3	Primary-Cy	0.1122	0.0131	0.1384	0.086	FALSE
Patient508	3	Primary-G	0.2907	0.0199	0.3305	0.2509	FALSE
Patient508	3	Primary-P	0.0014	0.0035	0.0084	-0.0056	FALSE
Patient508	3	Primary-Y	0.0206	0.0051	0.0308	0.0104	FALSE
Patient508	3	Primary-v1	0.0063	0.0053	0.0169	-0.0043	FALSE
Patient508	3	Primary-v2	0.0102	0.0012	0.0126	0.0078	FALSE
Patient508	3	Primary-v3	0	2e-04	4e-04	-4e-04	FALSE
Patient508	3	Primary-v4	0	1e-04	2e-04	-2e-04	FALSE
Patient508	3	Primary-v5	0.1556	0.0129	0.1814	0.1298	FALSE
Patient508	3	Primary-v6	0.0379	0.0067	0.0513	0.0245	FALSE
Patient508	3	Primary-v7	0.0033	0.0048	0.0129	-0.0063	FALSE
Patient508	3	Primary-v8	0	0	0	0	FALSE
Patient508	3	Primary-v9	0	0	0	0	FALSE
Patient508	4	Primary-Cy	0.8459	0.0227	0.8913	0.8005	TRUE
Patient508	4	Primary-G	0.916	0.0186	0.9532	0.8788	TRUE
Patient508	4	Primary-P	0.7358	0.0242	0.7842	0.6874	TRUE
Patient508	4	Primary-Y	0.7406	0.0241	0.7888	0.6924	TRUE
Patient508	4	Primary-v1	0.8517	0.0235	0.8987	0.8047	TRUE
Patient508	4	Primary-v2	0.6573	0.0258	0.7089	0.6057	TRUE
Patient508	4	Primary-v3	0.0155	0.0058	0.0271	0.0039	TRUE
Patient508	4	Primary-v4	0.9071	0.0198	0.9467	0.8675	TRUE
Patient508	4	Primary-v5	0.8882	0.0196	0.9274	0.849	TRUE
Patient508	4	Primary-v6	0.8561	0.0204	0.8969	0.8153	TRUE
Patient508	4	Primary-v7	0.8582	0.0224	0.903	0.8134	TRUE
Patient508	4	Primary-v8	0.3897	0.0217	0.4331	0.3463	TRUE
Patient508	4	Primary-v9	0.9043	0.0198	0.9439	0.8647	TRUE
Patient508	5	Primary-Cy	0.0024	0.0047	0.0118	-0.007	FALSE
Patient508	5	Primary-G	0.0018	0.0041	0.01	-0.0064	FALSE
Patient508	5	Primary-P	0.4303	0.0404	0.5111	0.3495	FALSE
Patient508	5	Primary-Y	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient508	5	Primary-v1	0.0216	0.0125	0.0466	-0.0034	FALSE
Patient508	5	Primary-v2	0.3789	0.0426	0.4641	0.2937	FALSE
Patient508	5	Primary-v3	0.0055	0.0067	0.0189	-0.0079	FALSE
Patient508	5	Primary-v4	0.6615	0.0487	0.7589	0.5641	FALSE
Patient508	5	Primary-v5	9e-04	0.003	0.0069	-0.0051	FALSE
Patient508	5	Primary-v6	0.3027	0.0314	0.3655	0.2399	FALSE
Patient508	5	Primary-v7	0.5122	0.0456	0.6034	0.421	FALSE
Patient508	5	Primary-v8	0.2158	0.0295	0.2748	0.1568	FALSE
Patient508	5	Primary-v9	0.4016	0.0385	0.4786	0.3246	FALSE
Patient508	6	Primary-Cy	0	5e-04	0.001	-0.001	FALSE
Patient508	6	Primary-G	0	2e-04	4e-04	-4e-04	FALSE
Patient508	6	Primary-P	0	1e-04	2e-04	-2e-04	FALSE
Patient508	6	Primary-Y	0.0424	0.0083	0.059	0.0258	FALSE
Patient508	6	Primary-v1	0.0078	0.0056	0.019	-0.0034	FALSE
Patient508	6	Primary-v2	0	1e-04	2e-04	-2e-04	FALSE
Patient508	6	Primary-v3	0.0084	0.0053	0.019	-0.0022	FALSE
Patient508	6	Primary-v4	0	0	0	0	FALSE
Patient508	6	Primary-v5	0	0	0	0	FALSE
Patient508	6	Primary-v6	0	0	0	0	FALSE
Patient508	6	Primary-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient508	6	Primary-v8	0	0	0	0	FALSE
Patient508	6	Primary-v9	0.0469	0.0093	0.0655	0.0283	FALSE
Patient508	7	Primary-Cy	0.7211	0.0703	0.8617	0.5805	FALSE
Patient508	7	Primary-G	0.6496	0.0628	0.7752	0.524	FALSE
Patient508	7	Primary-P	0.0026	0.0059	0.0144	-0.0092	FALSE
Patient508	7	Primary-Y	0.6275	0.0625	0.7525	0.5025	FALSE
Patient508	7	Primary-v1	0.0036	0.0071	0.0178	-0.0106	FALSE
Patient508	7	Primary-v2	0.0037	0.0073	0.0183	-0.0109	FALSE
Patient508	7	Primary-v3	0.0045	0.0081	0.0207	-0.0117	FALSE
Patient508	7	Primary-v4	0.0024	0.0056	0.0136	-0.0088	FALSE
Patient508	7	Primary-v5	0.4555	0.054	0.5635	0.3475	FALSE
Patient508	7	Primary-v6	0.1755	0.0406	0.2567	0.0943	FALSE
Patient508	7	Primary-v7	0.003	0.0064	0.0158	-0.0098	FALSE
Patient508	7	Primary-v8	0.002	0.0051	0.0122	-0.0082	FALSE
Patient508	7	Primary-v9	0.2236	0.0439	0.3114	0.1358	FALSE
Patient508	8	Primary-Cy	0	0	0	0	FALSE
Patient508	8	Primary-G	0	0	0	0	FALSE
Patient508	8	Primary-P	0.0585	0.009	0.0765	0.0405	FALSE
Patient508	8	Primary-Y	0	0	0	0	FALSE
Patient508	8	Primary-v1	0	0	0	0	FALSE
Patient508	8	Primary-v2	0.0519	0.0082	0.0683	0.0355	FALSE
Patient508	8	Primary-v3	0	0	0	0	FALSE
Patient508	8	Primary-v4	0	0	0	0	FALSE
Patient508	8	Primary-v5	0	0	0	0	FALSE
Patient508	8	Primary-v6	0.0162	0.0052	0.0266	0.0058	FALSE
Patient508	8	Primary-v7	0	0	0	0	FALSE
Patient508	8	Primary-v8	0	0	0	0	FALSE
Patient508	8	Primary-v9	0	0	0	0	FALSE
Patient508	9	Primary-Cy	0.7885	0.0839	0.9563	0.6207	FALSE
Patient508	9	Primary-G	0.4576	0.0934	0.6444	0.2708	FALSE
Patient508	9	Primary-P	0.7491	0.0828	0.9147	0.5835	FALSE
Patient508	9	Primary-Y	0.7345	0.081	0.8965	0.5725	FALSE
Patient508	9	Primary-v1	0.7139	0.0876	0.8891	0.5387	FALSE
Patient508	9	Primary-v2	0.6027	0.0812	0.7651	0.4403	FALSE
Patient508	9	Primary-v3	0.0424	0.0232	0.0888	-0.004	FALSE
Patient508	9	Primary-v4	0.8505	0.0773	1.0051	0.6959	FALSE
Patient508	9	Primary-v5	0.7662	0.0783	0.9228	0.6096	FALSE
Patient508	9	Primary-v6	0.8712	0.0705	1.0122	0.7302	FALSE
Patient508	9	Primary-v7	0.7655	0.0833	0.9321	0.5989	FALSE
Patient508	9	Primary-v8	0.3306	0.0616	0.4538	0.2074	FALSE
Patient508	9	Primary-v9	0.8748	0.0721	1.019	0.7306	FALSE
